Date, Price, Grid load forecast, Wind power forecast
2013-01-02 21:00:00,36.94,51962,1723
2013-01-02 22:00:00,36.37,49776,1781
2013-01-02 23:00:00,34.59,47125,1918
2013-01-03 00:00:00,33.11,45029,2209
2013-01-03 01:00:00,32.22,44023,2349
2013-01-03 02:00:00,31.46,43600,2530
2013-01-03 03:00:00,31.67,43677,2732
2013-01-03 04:00:00,32.05,44377,2867
2013-01-03 05:00:00,33.67,46427,2973
2013-01-03 06:00:00,34.93,50150,3113
2013-01-03 07:00:00,35.82,54148,3216
2013-01-03 08:00:00,36.38,55882,3286
2013-01-03 09:00:00,36.52,56040,3402
2013-01-03 10:00:00,36.71,56216,3549
2013-01-03 11:00:00,36.6,56110,3648
2013-01-03 12:00:00,36.51,55576,3677
2013-01-03 13:00:00,36.4,55411,3680
2013-01-03 14:00:00,36.42,55768,3686
2013-01-03 15:00:00,36.58,56413,3679
2013-01-03 16:00:00,36.94,57285,3644
2013-01-03 17:00:00,36.94,57558,3553
2013-01-03 18:00:00,36.81,56793,3440
2013-01-03 19:00:00,36.43,55578,3312
2013-01-03 20:00:00,35.91,53745,3203
2013-01-03 21:00:00,35.45,52308,3111
2013-01-03 22:00:00,34.77,49951,3043
2013-01-03 23:00:00,32.09,47288,2977
2013-01-04 00:00:00,31.71,44859,2956
2013-01-04 01:00:00,30.86,43868,2832
2013-01-04 02:00:00,30.21,43473,2757
2013-01-04 03:00:00,30.36,43557,2686
2013-01-04 04:00:00,30.89,44292,2554
2013-01-04 05:00:00,32.21,46354,2368
2013-01-04 06:00:00,34.33,49917,2212
2013-01-04 07:00:00,35.98,53990,2119
2013-01-04 08:00:00,36.72,55748,2114
2013-01-04 09:00:00,36.68,55766,2206
2013-01-04 10:00:00,36.8,56039,2396
2013-01-04 11:00:00,36.64,55875,2641
2013-01-04 12:00:00,36.44,55427,2828
2013-01-04 13:00:00,36.31,55218,2924
2013-01-04 14:00:00,35.83,55541,2976
2013-01-04 15:00:00,36.12,56355,2973
2013-01-04 16:00:00,36.8,57165,2915
2013-01-04 17:00:00,37.29,57337,2832
2013-01-04 18:00:00,37.15,56567,2733
2013-01-04 19:00:00,36.47,55246,2597
2013-01-04 20:00:00,36.03,53340,2422
2013-01-04 21:00:00,35.43,51900,2213
2013-01-04 22:00:00,35.17,49813,2007
2013-01-04 23:00:00,32.95,47370,1808
2013-01-05 00:00:00,33.69,44975,1612
2013-01-05 01:00:00,32.71,43955,1274
2013-01-05 02:00:00,32.09,43482,992
2013-01-05 03:00:00,32.17,43213,763
2013-01-05 04:00:00,32.73,43443,597
2013-01-05 05:00:00,33.77,44042,460
2013-01-05 06:00:00,34.03,45160,354
2013-01-05 07:00:00,33.98,47109,284
2013-01-05 08:00:00,34.45,48944,245
2013-01-05 09:00:00,36.12,50445,227
2013-01-05 10:00:00,36.69,51662,216
2013-01-05 11:00:00,36.74,51849,206
2013-01-05 12:00:00,36.52,51614,194
2013-01-05 13:00:00,36.12,51186,196
2013-01-05 14:00:00,36.14,51497,204
2013-01-05 15:00:00,36.78,52648,221
2013-01-05 16:00:00,37.71,54211,247
2013-01-05 17:00:00,38.37,54731,294
2013-01-05 18:00:00,37.99,54014,358
2013-01-05 19:00:00,36.94,52452,437
2013-01-05 20:00:00,36.24,50729,537
2013-01-05 21:00:00,35.89,49577,638
2013-01-05 22:00:00,35.7,48007,709
2013-01-05 23:00:00,35.44,46375,793
2013-01-06 00:00:00,34.87,46150,558
2013-01-06 01:00:00,33.05,44946,666
2013-01-06 02:00:00,32.25,44345,736
2013-01-06 03:00:00,32.41,44067,737
2013-01-06 04:00:00,32.45,44134,721
2013-01-06 05:00:00,32.8,44641,771
2013-01-06 06:00:00,33.27,45736,881
2013-01-06 07:00:00,32.97,47134,990
2013-01-06 08:00:00,33.65,48601,1088
2013-01-06 09:00:00,34.25,49839,1159
2013-01-06 10:00:00,35.01,51058,1249
2013-01-06 11:00:00,35.94,51738,1341
2013-01-06 12:00:00,35.79,51743,1356
2013-01-06 13:00:00,35.02,51714,1296
2013-01-06 14:00:00,34.85,51959,1219
2013-01-06 15:00:00,35.18,53239,1125
2013-01-06 16:00:00,35.9,54580,983
2013-01-06 17:00:00,37.09,55054,817
2013-01-06 18:00:00,37.65,54611,616
2013-01-06 19:00:00,37.39,53503,432
2013-01-06 20:00:00,36.99,52220,318
2013-01-06 21:00:00,36.1,51122,251
2013-01-06 22:00:00,36,49213,195
2013-01-06 23:00:00,34.93,47156,157
2013-01-07 00:00:00,34.97,46057,113
2013-01-07 01:00:00,33.71,45168,83
2013-01-07 02:00:00,33.13,44715,75
2013-01-07 03:00:00,33.23,44840,78
2013-01-07 04:00:00,34.1,45736,91
2013-01-07 05:00:00,35.68,48206,105
2013-01-07 06:00:00,38.51,52410,114
2013-01-07 07:00:00,40.66,56801,125
2013-01-07 08:00:00,42.48,58004,143
2013-01-07 09:00:00,42.08,57798,175
2013-01-07 10:00:00,41.97,57959,214
2013-01-07 11:00:00,41.37,57892,251
2013-01-07 12:00:00,40.3,57433,265
2013-01-07 13:00:00,39.96,57153,277
2013-01-07 14:00:00,40.17,57264,291
2013-01-07 15:00:00,41.6,58066,321
2013-01-07 16:00:00,42.37,58814,360
2013-01-07 17:00:00,41.93,58890,394
2013-01-07 18:00:00,39.97,57726,425
2013-01-07 19:00:00,38.9,56264,461
2013-01-07 20:00:00,37.92,54454,480
2013-01-07 21:00:00,37.47,52814,469
2013-01-07 22:00:00,36.49,50312,453
2013-01-07 23:00:00,35.55,47645,437
2013-01-08 00:00:00,35.44,45947,541
2013-01-08 01:00:00,35.01,44792,530
2013-01-08 02:00:00,34.83,44296,524
2013-01-08 03:00:00,34.84,44215,511
2013-01-08 04:00:00,35.21,44864,479
2013-01-08 05:00:00,36.35,47149,459
2013-01-08 06:00:00,39.04,51134,451
2013-01-08 07:00:00,42.55,55286,442
2013-01-08 08:00:00,44.35,56290,435
2013-01-08 09:00:00,43.58,56111,429
2013-01-08 10:00:00,43.15,56339,419
2013-01-08 11:00:00,42.43,56264,412
2013-01-08 12:00:00,41.92,55810,383
2013-01-08 13:00:00,41.94,55676,329
2013-01-08 14:00:00,41.72,55822,272
2013-01-08 15:00:00,43.47,56700,219
2013-01-08 16:00:00,47.47,57601,176
2013-01-08 17:00:00,47.97,57779,152
2013-01-08 18:00:00,44.91,56954,134
2013-01-08 19:00:00,42.78,55745,126
2013-01-08 20:00:00,39.77,54021,131
2013-01-08 21:00:00,39.09,52608,148
2013-01-08 22:00:00,38.23,50189,179
2013-01-08 23:00:00,36.14,47492,228
2013-01-09 00:00:00,36.49,45937,186
2013-01-09 01:00:00,35.92,44833,219
2013-01-09 02:00:00,35.44,44216,265
2013-01-09 03:00:00,35.76,44292,312
2013-01-09 04:00:00,35.93,45092,358
2013-01-09 05:00:00,37.31,47494,421
2013-01-09 06:00:00,39.17,51772,478
2013-01-09 07:00:00,41.4,56447,554
2013-01-09 08:00:00,43.51,57646,682
2013-01-09 09:00:00,41.59,57470,795
2013-01-09 10:00:00,40.8,57470,902
2013-01-09 11:00:00,40.56,57517,1060
2013-01-09 12:00:00,40.5,57119,1230
2013-01-09 13:00:00,40.74,56975,1366
2013-01-09 14:00:00,40.53,57070,1523
2013-01-09 15:00:00,40.75,57801,1686
2013-01-09 16:00:00,42.96,58685,1789
2013-01-09 17:00:00,43.08,58883,1835
2013-01-09 18:00:00,40.87,58181,1840
2013-01-09 19:00:00,39.81,57064,1838
2013-01-09 20:00:00,39.02,55355,1825
2013-01-09 21:00:00,37.97,53987,1784
2013-01-09 22:00:00,36.71,51505,1753
2013-01-09 23:00:00,35.3,48686,1732
2013-01-10 00:00:00,35.77,46644,1929
2013-01-10 01:00:00,35.2,45700,1959
2013-01-10 02:00:00,34.74,45389,2010
2013-01-10 03:00:00,35,45640,2008
2013-01-10 04:00:00,36,46669,1975
2013-01-10 05:00:00,37.13,49380,1979
2013-01-10 06:00:00,38.83,54019,1993
2013-01-10 07:00:00,41.69,58919,1965
2013-01-10 08:00:00,44.07,60258,1889
2013-01-10 09:00:00,42.7,60073,1788
2013-01-10 10:00:00,42.08,60124,1712
2013-01-10 11:00:00,41.72,59999,1659
2013-01-10 12:00:00,41.8,59714,1621
2013-01-10 13:00:00,42.41,59510,1636
2013-01-10 14:00:00,43.61,59619,1686
2013-01-10 15:00:00,44.02,60297,1716
2013-01-10 16:00:00,47.44,61048,1740
2013-01-10 17:00:00,48.8,61407,1764
2013-01-10 18:00:00,43.22,60574,1734
2013-01-10 19:00:00,41.56,59298,1618
2013-01-10 20:00:00,40.29,57434,1493
2013-01-10 21:00:00,39.65,56051,1402
2013-01-10 22:00:00,38.9,53540,1320
2013-01-10 23:00:00,37.44,50631,1250
2013-01-11 00:00:00,37.1,48693,1258
2013-01-11 01:00:00,36.33,47660,1219
2013-01-11 02:00:00,36.05,47314,1176
2013-01-11 03:00:00,35.57,47557,1158
2013-01-11 04:00:00,36.34,48540,1153
2013-01-11 05:00:00,38.13,51645,1152
2013-01-11 06:00:00,40.29,56300,1152
2013-01-11 07:00:00,45.68,61223,1172
2013-01-11 08:00:00,49.75,62058,1194
2013-01-11 09:00:00,46.3,61782,1219
2013-01-11 10:00:00,45.58,61855,1235
2013-01-11 11:00:00,43.6,61535,1234
2013-01-11 12:00:00,43.43,61035,1197
2013-01-11 13:00:00,43.04,60348,1135
2013-01-11 14:00:00,43.72,60152,1078
2013-01-11 15:00:00,44.15,60960,1038
2013-01-11 16:00:00,47.64,62056,1010
2013-01-11 17:00:00,49.17,62358,997
2013-01-11 18:00:00,43.78,61256,992
2013-01-11 19:00:00,41.82,59624,976
2013-01-11 20:00:00,40.12,57559,945
2013-01-11 21:00:00,39.58,56089,899
2013-01-11 22:00:00,38.85,54011,833
2013-01-11 23:00:00,37.64,51812,768
2013-01-12 00:00:00,37.94,49528,743
2013-01-12 01:00:00,37.52,48298,694
2013-01-12 02:00:00,36.95,47549,654
2013-01-12 03:00:00,36.98,47315,655
2013-01-12 04:00:00,36.88,47463,711
2013-01-12 05:00:00,37.24,48150,754
2013-01-12 06:00:00,37.9,49383,765
2013-01-12 07:00:00,38.62,51451,751
2013-01-12 08:00:00,39.28,53370,710
2013-01-12 09:00:00,40.31,55122,645
2013-01-12 10:00:00,40.99,56255,580
2013-01-12 11:00:00,41.24,56592,504
2013-01-12 12:00:00,40.98,56480,431
2013-01-12 13:00:00,40.79,55939,388
2013-01-12 14:00:00,40.84,55880,372
2013-01-12 15:00:00,42.09,56863,365
2013-01-12 16:00:00,44.73,58718,369
2013-01-12 17:00:00,50.04,59546,385
2013-01-12 18:00:00,48.05,58956,406
2013-01-12 19:00:00,42.05,57339,411
2013-01-12 20:00:00,40.35,55564,400
2013-01-12 21:00:00,39.79,54555,383
2013-01-12 22:00:00,39.58,52830,371
2013-01-12 23:00:00,38.34,50945,359
2013-01-13 00:00:00,38.76,49859,258
2013-01-13 01:00:00,38.32,48775,270
2013-01-13 02:00:00,37.87,48072,283
2013-01-13 03:00:00,37.25,47893,297
2013-01-13 04:00:00,37.17,48026,308
2013-01-13 05:00:00,37.33,48516,317
2013-01-13 06:00:00,37.26,49483,305
2013-01-13 07:00:00,37.68,50914,286
2013-01-13 08:00:00,37.81,52470,277
2013-01-13 09:00:00,38.47,54122,266
2013-01-13 10:00:00,39.14,55750,248
2013-01-13 11:00:00,39.76,56436,218
2013-01-13 12:00:00,39.56,56472,198
2013-01-13 13:00:00,39.06,56091,199
2013-01-13 14:00:00,38.97,56129,214
2013-01-13 15:00:00,39.5,57220,237
2013-01-13 16:00:00,40.39,59048,275
2013-01-13 17:00:00,43.41,60082,318
2013-01-13 18:00:00,46.1,59680,349
2013-01-13 19:00:00,42.75,58695,354
2013-01-13 20:00:00,40.52,57242,357
2013-01-13 21:00:00,39.63,56142,370
2013-01-13 22:00:00,39.61,54160,383
2013-01-13 23:00:00,38.27,51880,377
2013-01-14 00:00:00,37.69,49913,592
2013-01-14 01:00:00,37.43,49096,630
2013-01-14 02:00:00,37.54,48840,632
2013-01-14 03:00:00,37.61,49138,619
2013-01-14 04:00:00,38.23,50225,651
2013-01-14 05:00:00,38.98,53143,727
2013-01-14 06:00:00,41.97,58109,823
2013-01-14 07:00:00,54.77,63077,910
2013-01-14 08:00:00,57.92,64387,1023
2013-01-14 09:00:00,52.1,64136,1076
2013-01-14 10:00:00,49.1,64162,1036
2013-01-14 11:00:00,48.84,64030,986
2013-01-14 12:00:00,48.78,63485,947
2013-01-14 13:00:00,50.78,63219,930
2013-01-14 14:00:00,52.35,63075,935
2013-01-14 15:00:00,51.86,63630,910
2013-01-14 16:00:00,53.2,64688,898
2013-01-14 17:00:00,60.5,65155,897
2013-01-14 18:00:00,50.61,64166,862
2013-01-14 19:00:00,47.92,62670,791
2013-01-14 20:00:00,42.8,60720,707
2013-01-14 21:00:00,41.16,58890,634
2013-01-14 22:00:00,40.32,56165,572
2013-01-14 23:00:00,38.59,53184,519
2013-01-15 00:00:00,38.69,50929,550
2013-01-15 01:00:00,37.95,49908,553
2013-01-15 02:00:00,37.57,49487,567
2013-01-15 03:00:00,37.96,49651,590
2013-01-15 04:00:00,38.42,50453,620
2013-01-15 05:00:00,39.33,53006,660
2013-01-15 06:00:00,42.53,57693,696
2013-01-15 07:00:00,56.21,62155,637
2013-01-15 08:00:00,59.22,63211,558
2013-01-15 09:00:00,55.12,62924,498
2013-01-15 10:00:00,54.63,62974,436
2013-01-15 11:00:00,52.44,62995,375
2013-01-15 12:00:00,49.01,62707,332
2013-01-15 13:00:00,51.91,62582,314
2013-01-15 14:00:00,52.92,62658,282
2013-01-15 15:00:00,54.87,63373,241
2013-01-15 16:00:00,58.01,64357,207
2013-01-15 17:00:00,64,64696,188
2013-01-15 18:00:00,55.91,63674,172
2013-01-15 19:00:00,47.23,62451,157
2013-01-15 20:00:00,43.12,60567,148
2013-01-15 21:00:00,41.65,58917,141
2013-01-15 22:00:00,40.49,56196,127
2013-01-15 23:00:00,38.94,53338,116
2013-01-16 00:00:00,38.99,51226,93
2013-01-16 01:00:00,38.13,50241,92
2013-01-16 02:00:00,37.89,49727,95
2013-01-16 03:00:00,38.19,49953,93
2013-01-16 04:00:00,38.7,50988,97
2013-01-16 05:00:00,40.26,53685,89
2013-01-16 06:00:00,44.27,58370,88
2013-01-16 07:00:00,63.87,63484,100
2013-01-16 08:00:00,70,64728,114
2013-01-16 09:00:00,72.83,64498,129
2013-01-16 10:00:00,60.1,64407,132
2013-01-16 11:00:00,52.93,64318,129
2013-01-16 12:00:00,55.59,64009,128
2013-01-16 13:00:00,59.13,63813,128
2013-01-16 14:00:00,57.06,63934,136
2013-01-16 15:00:00,56.18,64654,149
2013-01-16 16:00:00,58.92,65722,167
2013-01-16 17:00:00,69.93,66158,189
2013-01-16 18:00:00,60.04,65297,210
2013-01-16 19:00:00,49.42,63910,228
2013-01-16 20:00:00,43.11,61860,241
2013-01-16 21:00:00,41.89,60249,249
2013-01-16 22:00:00,40.47,57449,252
2013-01-16 23:00:00,38.79,54343,243
2013-01-17 00:00:00,39.41,52634,301
2013-01-17 01:00:00,39.03,51547,343
2013-01-17 02:00:00,38.93,51231,374
2013-01-17 03:00:00,39.23,51457,387
2013-01-17 04:00:00,39.65,52261,384
2013-01-17 05:00:00,40.69,54795,382
2013-01-17 06:00:00,43.82,59335,395
2013-01-17 07:00:00,61.58,64402,423
2013-01-17 08:00:00,62.42,65572,451
2013-01-17 09:00:00,59.92,65136,449
2013-01-17 10:00:00,58.14,64960,419
2013-01-17 11:00:00,56.22,64917,370
2013-01-17 12:00:00,58.78,64274,334
2013-01-17 13:00:00,60.12,64005,315
2013-01-17 14:00:00,62.37,64044,306
2013-01-17 15:00:00,62.34,64565,307
2013-01-17 16:00:00,62.3,65472,321
2013-01-17 17:00:00,72.83,66221,357
2013-01-17 18:00:00,86.07,65501,396
2013-01-17 19:00:00,61.3,64296,433
2013-01-17 20:00:00,48.66,62392,481
2013-01-17 21:00:00,45.96,60802,512
2013-01-17 22:00:00,42.31,58122,525
2013-01-17 23:00:00,40.37,55064,528
2013-01-18 00:00:00,39.76,53227,632
2013-01-18 01:00:00,38.98,52145,643
2013-01-18 02:00:00,38.72,51764,656
2013-01-18 03:00:00,39.01,51946,684
2013-01-18 04:00:00,39.21,52886,737
2013-01-18 05:00:00,40.4,55445,812
2013-01-18 06:00:00,44.83,60128,871
2013-01-18 07:00:00,62.03,65361,919
2013-01-18 08:00:00,66.97,66819,972
2013-01-18 09:00:00,65.13,66378,1004
2013-01-18 10:00:00,60.2,65942,1008
2013-01-18 11:00:00,49.28,65452,1006
2013-01-18 12:00:00,48.09,64870,1049
2013-01-18 13:00:00,46.28,64283,1135
2013-01-18 14:00:00,46.99,64127,1212
2013-01-18 15:00:00,47.89,64482,1297
2013-01-18 16:00:00,54.6,65684,1387
2013-01-18 17:00:00,61.96,66448,1459
2013-01-18 18:00:00,51.88,65491,1528
2013-01-18 19:00:00,44.16,63729,1605
2013-01-18 20:00:00,41.97,61360,1697
2013-01-18 21:00:00,40.43,59766,1763
2013-01-18 22:00:00,39.25,57557,1783
2013-01-18 23:00:00,38.69,55054,1757
2013-01-19 00:00:00,38.16,53361,1690
2013-01-19 01:00:00,37.98,52211,1698
2013-01-19 02:00:00,37.92,51684,1681
2013-01-19 03:00:00,37.97,51533,1610
2013-01-19 04:00:00,38,51721,1553
2013-01-19 05:00:00,37.96,52653,1494
2013-01-19 06:00:00,38.08,53960,1442
2013-01-19 07:00:00,38.38,56123,1414
2013-01-19 08:00:00,39.03,58091,1379
2013-01-19 09:00:00,40.65,59695,1352
2013-01-19 10:00:00,41.56,60594,1330
2013-01-19 11:00:00,41.93,60716,1305
2013-01-19 12:00:00,41.6,60184,1290
2013-01-19 13:00:00,41,59704,1303
2013-01-19 14:00:00,40.09,59738,1332
2013-01-19 15:00:00,40.23,60819,1352
2013-01-19 16:00:00,41.7,62628,1358
2013-01-19 17:00:00,47.97,63668,1334
2013-01-19 18:00:00,46.02,62840,1282
2013-01-19 19:00:00,41.79,60998,1202
2013-01-19 20:00:00,39.98,59065,1112
2013-01-19 21:00:00,39.14,57875,1032
2013-01-19 22:00:00,38.76,56051,951
2013-01-19 23:00:00,37.92,54135,877
2013-01-20 00:00:00,38.01,52735,731
2013-01-20 01:00:00,37.87,51478,686
2013-01-20 02:00:00,37.53,50760,653
2013-01-20 03:00:00,37.16,50499,633
2013-01-20 04:00:00,36.95,50566,633
2013-01-20 05:00:00,37.13,51086,653
2013-01-20 06:00:00,37.35,51870,655
2013-01-20 07:00:00,37.47,53217,644
2013-01-20 08:00:00,37.96,54470,646
2013-01-20 09:00:00,38.6,55917,672
2013-01-20 10:00:00,39.49,57158,687
2013-01-20 11:00:00,40.1,57579,680
2013-01-20 12:00:00,39.71,57312,728
2013-01-20 13:00:00,38.39,56934,861
2013-01-20 14:00:00,37.88,57022,1041
2013-01-20 15:00:00,38.43,58093,1241
2013-01-20 16:00:00,39.41,60022,1486
2013-01-20 17:00:00,40.07,61434,1817
2013-01-20 18:00:00,40.71,61277,2095
2013-01-20 19:00:00,39.82,60285,2306
2013-01-20 20:00:00,38.92,58978,2477
2013-01-20 21:00:00,37.91,57971,2599
2013-01-20 22:00:00,37.86,56168,2679
2013-01-20 23:00:00,37.21,53857,2755
2013-01-21 00:00:00,37.27,51973,2686
2013-01-21 01:00:00,37.28,51228,2780
2013-01-21 02:00:00,37.05,51027,2886
2013-01-21 03:00:00,37.26,51271,2953
2013-01-21 04:00:00,37.36,52446,2982
2013-01-21 05:00:00,38.03,55374,3000
2013-01-21 06:00:00,39.78,60369,3004
2013-01-21 07:00:00,43.2,65263,2999
2013-01-21 08:00:00,44.78,66408,2994
2013-01-21 09:00:00,43.91,65890,3008
2013-01-21 10:00:00,42.71,65643,3050
2013-01-21 11:00:00,42.21,65319,3090
2013-01-21 12:00:00,42.37,64594,3086
2013-01-21 13:00:00,42.52,64527,3057
2013-01-21 14:00:00,42.21,64654,3027
2013-01-21 15:00:00,42.5,65306,2989
2013-01-21 16:00:00,44.33,66267,2952
2013-01-21 17:00:00,49.47,66859,2913
2013-01-21 18:00:00,43.82,65887,2881
2013-01-21 19:00:00,42.29,64444,2843
2013-01-21 20:00:00,41.27,62621,2808
2013-01-21 21:00:00,40.51,60977,2765
2013-01-21 22:00:00,39.62,58469,2711
2013-01-21 23:00:00,37.67,55502,2670
2013-01-22 00:00:00,37.09,54113,2630
2013-01-22 01:00:00,36.94,53112,2570
2013-01-22 02:00:00,36.98,52698,2503
2013-01-22 03:00:00,37.1,52750,2440
2013-01-22 04:00:00,37.47,53483,2385
2013-01-22 05:00:00,38.33,55927,2314
2013-01-22 06:00:00,40.05,60117,2217
2013-01-22 07:00:00,53.98,64790,2105
2013-01-22 08:00:00,63.33,65899,1997
2013-01-22 09:00:00,50.7,65586,1922
2013-01-22 10:00:00,48.13,65482,1878
2013-01-22 11:00:00,47.07,65160,1830
2013-01-22 12:00:00,45.51,64669,1735
2013-01-22 13:00:00,46.93,64461,1597
2013-01-22 14:00:00,47.19,64539,1471
2013-01-22 15:00:00,53.51,65285,1357
2013-01-22 16:00:00,61.5,66325,1265
2013-01-22 17:00:00,75.05,67183,1194
2013-01-22 18:00:00,54.04,66519,1129
2013-01-22 19:00:00,48.59,65525,1048
2013-01-22 20:00:00,44.2,63840,964
2013-01-22 21:00:00,42.98,62305,895
2013-01-22 22:00:00,40.71,59743,824
2013-01-22 23:00:00,39.36,57089.5,749
2013-01-23 00:00:00,39.31,55404,665
2013-01-23 01:00:00,38.16,54488,608
2013-01-23 02:00:00,37.86,54005,556
2013-01-23 03:00:00,38.22,54179,516
2013-01-23 04:00:00,38.78,55050,488
2013-01-23 05:00:00,40.36,57732,473
2013-01-23 06:00:00,45.7,62403,461
2013-01-23 07:00:00,68.1,67216,447
2013-01-23 08:00:00,75,68060,428
2013-01-23 09:00:00,70.07,67518,407
2013-01-23 10:00:00,70.06,67199,383
2013-01-23 11:00:00,66.01,66950,357
2013-01-23 12:00:00,65.37,66398,326
2013-01-23 13:00:00,64.35,66050,299
2013-01-23 14:00:00,61.65,66193,281
2013-01-23 15:00:00,58.63,66567,269
2013-01-23 16:00:00,59.59,67459,261
2013-01-23 17:00:00,75.02,68468,266
2013-01-23 18:00:00,63.53,67744,273
2013-01-23 19:00:00,55.77,66856,272
2013-01-23 20:00:00,45.82,65040,269
2013-01-23 21:00:00,43.13,63533,264
2013-01-23 22:00:00,41.08,60857,247
2013-01-23 23:00:00,40.19,57916,228
2013-01-24 00:00:00,40.41,55464,221
2013-01-24 01:00:00,39.63,54817,219
2013-01-24 02:00:00,39.18,54705,219
2013-01-24 03:00:00,39.67,55016,225
2013-01-24 04:00:00,39.38,55793,236
2013-01-24 05:00:00,41.2,58352,254
2013-01-24 06:00:00,48.24,62954,268
2013-01-24 07:00:00,68.45,67784,273
2013-01-24 08:00:00,71.28,68655,276
2013-01-24 09:00:00,75,67935,269
2013-01-24 10:00:00,63.84,67527,263
2013-01-24 11:00:00,60.05,67050,243
2013-01-24 12:00:00,69.48,66283,228
2013-01-24 13:00:00,64.63,65848,228
2013-01-24 14:00:00,63.54,65869,231
2013-01-24 15:00:00,60.66,66340,222
2013-01-24 16:00:00,66.38,67610,199
2013-01-24 17:00:00,78.79,68586,194
2013-01-24 18:00:00,81.59,67683,204
2013-01-24 19:00:00,50.47,66572,197
2013-01-24 20:00:00,47.97,64793,184
2013-01-24 21:00:00,47.81,63329,166
2013-01-24 22:00:00,43.89,60692,148
2013-01-24 23:00:00,40.16,57841,135
2013-01-25 00:00:00,40.23,55945,46
2013-01-25 01:00:00,39.29,55090,42
2013-01-25 02:00:00,39.06,54695,42
2013-01-25 03:00:00,39.17,54799,48
2013-01-25 04:00:00,39.78,55613,58
2013-01-25 05:00:00,41.03,58403,80
2013-01-25 06:00:00,52.18,63065,113
2013-01-25 07:00:00,62.32,67905,154
2013-01-25 08:00:00,69.6,69112,205
2013-01-25 09:00:00,69.9,68477,264
2013-01-25 10:00:00,67.97,68082,331
2013-01-25 11:00:00,66.79,67326,412
2013-01-25 12:00:00,60.6,66253,474
2013-01-25 13:00:00,55.07,65312,520
2013-01-25 14:00:00,49.91,64843,574
2013-01-25 15:00:00,50.69,64991,637
2013-01-25 16:00:00,55.08,66139,707
2013-01-25 17:00:00,62.28,66913,785
2013-01-25 18:00:00,57.65,66035,874
2013-01-25 19:00:00,44.25,64163,996
2013-01-25 20:00:00,41.24,61814,1156
2013-01-25 21:00:00,40.39,60200,1282
2013-01-25 22:00:00,39.1,57886,1359
2013-01-25 23:00:00,37.22,55514,1452
2013-01-26 00:00:00,36.73,53309,2155
2013-01-26 01:00:00,36.45,52080,2219
2013-01-26 02:00:00,36.43,51413,2271
2013-01-26 03:00:00,36.42,51238,2319
2013-01-26 04:00:00,36.15,51423,2395
2013-01-26 05:00:00,36.19,52129,2509
2013-01-26 06:00:00,36.26,53257,2602
2013-01-26 07:00:00,36.33,55161,2652
2013-01-26 08:00:00,36.49,56954,2677
2013-01-26 09:00:00,37.82,58560,2697
2013-01-26 10:00:00,38.64,59530,2701
2013-01-26 11:00:00,38.68,59450,2695
2013-01-26 12:00:00,38.12,58901,2677
2013-01-26 13:00:00,37.79,58284,2624
2013-01-26 14:00:00,37.45,58026,2550
2013-01-26 15:00:00,37.88,58967,2475
2013-01-26 16:00:00,38.96,61008,2398
2013-01-26 17:00:00,40.38,62380,2332
2013-01-26 18:00:00,39.82,61767,2261
2013-01-26 19:00:00,39.09,59971,2130
2013-01-26 20:00:00,38.11,57883,1947
2013-01-26 21:00:00,36.66,56748,1793
